ID,Name,Kategorie,Mineral_Primaer,Varietaet,Gesteinsart,Kristallsystem,Mohs_Haerte_min,Mohs_Haerte_max,Dichte_min_gcm3,Dichte_max_gcm3,Spaltbarkeit,Bruch,Glanz,Transparenz,Farbe_beobachtet,Strichfarbe,UV_365nm,UV_254nm,Magnetismus,HCl_Reaktion,Reaktionshinweis,Fundort,Funddatum,Foto_Uebersicht,Foto_UV395,Foto_UV365,Laenge_mm,Breite_mm,Hoehe_mm,Gewicht_g,Seltenheit_global_1_10,Seltenheit_Fundort_1_10,Nachfrage_1_10,Wert_CHF_roh,Wert_CHF_poliert,Wert_CHF_Schmuck,Wert_USD_Talisman,Marktwert_Industrie,Wissenschaftlicher_Wert_CHF,Beste_Verwendung,Pruefempfehlungen,Confidence_Prozent
OBJ-013,Objekt 13,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-014,Objekt 14,Mineral-Korn,Quarz (Hornstein/Chert),Hornstein / Chert,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.56,2.66,keine,"muschelig, scharfkantig",wachsartig–matt,opake–durchscheinend,,weiß,keine,keine,nein,keine,Sedimentär verkieselt; häufig in Nagelfluh/Kalken.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-015,Objekt 15,Mineral-Korn,Quarz (Chalcedon),Chalcedon,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.58,2.64,keine,muschelig,wachsartig–glasig,durchscheinend,,weiß,gewöhnlich keine,gewöhnlich keine,nein,keine,Farben durch Eisen/Mangan; kann bandig sein (Achat).,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-016,Objekt 16,Mineral-Korn,Dolomit,,Geröll/Schotter,trigonal,3.5,4.0,2.83,2.9,vollkommen rhomboedrisch,muschelig–uneben,glasig–perlmutt,durchsichtig–undurchsichtig,,weiß,gelegentlich schwach (orange/pink),gelegentlich,nein,"kalt kaum, warm/pulver stark",Mit Calcit verwechselbar; Ritztest/HCl nötig.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",60
OBJ-017,Objekt 17,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-018,Objekt 18,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-019,Objekt 19,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-020,Objekt 20,Mineral-Korn,Quarz (Hornstein/Chert),Hornstein / Chert,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.56,2.66,keine,"muschelig, scharfkantig",wachsartig–matt,opake–durchscheinend,,weiß,keine,keine,nein,keine,Sedimentär verkieselt; häufig in Nagelfluh/Kalken.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-021,Objekt 21,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-022,Objekt 22,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-023,Objekt 23,Mineral-Korn,Dolomit,,Geröll/Schotter,trigonal,3.5,4.0,2.83,2.9,vollkommen rhomboedrisch,muschelig–uneben,glasig–perlmutt,durchsichtig–undurchsichtig,,weiß,gelegentlich schwach (orange/pink),gelegentlich,nein,"kalt kaum, warm/pulver stark",Mit Calcit verwechselbar; Ritztest/HCl nötig.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",60
OBJ-024,Objekt 24,Mineral-Korn,Quarz (Chalcedon),Chalcedon,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.58,2.64,keine,muschelig,wachsartig–glasig,durchscheinend,,weiß,gewöhnlich keine,gewöhnlich keine,nein,keine,Farben durch Eisen/Mangan; kann bandig sein (Achat).,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-025,Objekt 25,Mineral-Korn,Quarz (Hornstein/Chert),Hornstein / Chert,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.56,2.66,keine,"muschelig, scharfkantig",wachsartig–matt,opake–durchscheinend,,weiß,keine,keine,nein,keine,Sedimentär verkieselt; häufig in Nagelfluh/Kalken.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-026,Objekt 26,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-027,Objekt 27,Mineral-Korn,Dolomit,,Geröll/Schotter,trigonal,3.5,4.0,2.83,2.9,vollkommen rhomboedrisch,muschelig–uneben,glasig–perlmutt,durchsichtig–undurchsichtig,,weiß,gelegentlich schwach (orange/pink),gelegentlich,nein,"kalt kaum, warm/pulver stark",Mit Calcit verwechselbar; Ritztest/HCl nötig.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",60
OBJ-028,Objekt 28,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-029,Objekt 29,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-030,Objekt 30,Mineral-Korn,Quarz (Chalcedon),Chalcedon,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.58,2.64,keine,muschelig,wachsartig–glasig,durchscheinend,,weiß,gewöhnlich keine,gewöhnlich keine,nein,keine,Farben durch Eisen/Mangan; kann bandig sein (Achat).,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-031,Objekt 31,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-032,Objekt 32,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-033,Objekt 33,Mineral-Korn,Calcit,,Geröll/Schotter,trigonal,3.0,3.0,2.69,2.73,vollkommen rhomboedrisch,muschelig–splittrig,glasig,durchsichtig–undurchsichtig,,weiß,"häufig (rot–orange–blau, je nach Aktivatoren)",häufig,nein,kalt sofort kräftig,Starke Essigsäure-/HCl-Reaktion unterscheidet zu Dolomit.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",60
OBJ-034,Objekt 34,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-035,Objekt 35,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-036,Objekt 36,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-037,Objekt 37,Mineral-Korn,Quarz (Hornstein/Chert),Hornstein / Chert,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.56,2.66,keine,"muschelig, scharfkantig",wachsartig–matt,opake–durchscheinend,,weiß,keine,keine,nein,keine,Sedimentär verkieselt; häufig in Nagelfluh/Kalken.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-038,Objekt 38,Mineral-Korn,Dolomit,,Geröll/Schotter,trigonal,3.5,4.0,2.83,2.9,vollkommen rhomboedrisch,muschelig–uneben,glasig–perlmutt,durchsichtig–undurchsichtig,,weiß,gelegentlich schwach (orange/pink),gelegentlich,nein,"kalt kaum, warm/pulver stark",Mit Calcit verwechselbar; Ritztest/HCl nötig.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",60
OBJ-039,Objekt 39,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-040,Objekt 40,Mineral-Korn,Quarz (Chalcedon),Chalcedon,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.58,2.64,keine,muschelig,wachsartig–glasig,durchscheinend,,weiß,gewöhnlich keine,gewöhnlich keine,nein,keine,Farben durch Eisen/Mangan; kann bandig sein (Achat).,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-041,Objekt 41,Mineral-Korn,Quarz (Hornstein/Chert),Hornstein / Chert,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.56,2.66,keine,"muschelig, scharfkantig",wachsartig–matt,opake–durchscheinend,,weiß,keine,keine,nein,keine,Sedimentär verkieselt; häufig in Nagelfluh/Kalken.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-042,Objekt 42,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
